job_title,industry,experience,city,state,salary
Editor-in-Chief,Media,8 - 10 years,Washington,DC,160000.0
Senior Applied Data Scientist,Political Consulting,2 - 4 years,Washington,DC,92000.0
Director of Admissions,Education,8 - 10 years,Philadelphia,PA,55000.0
Public Affairs Specialist,Federal Government,2 - 4 years,Washington,DC,81000.0
Operations Director,Wireless adjacent,5 - 7 years,Denver,CO,62000.0
"VP, Portfolio Manager",Banking,8 - 10 years,Atlanta,GA,115000.0
Marketing Communications Specialist,Healthcare,2 - 4 years,Atlanta,GA,52000.0
Content Strategist,Technology,8 - 10 years,San Francisco,CA,105000.0
Senior HR Generalist,Legal,8 - 10 years,Chicago,IL,89000.0
"Director, Development Communications",Public Media,11 - 20 years,Minneapolis,MN,105000.0
HR Supervisor,Legal,8 - 10 years,Boston,MA,105000.0
Managing Editor,Media/Journalism,11 - 20 years,Portland,ME,40000.0
Vice President,Consulting,11 - 20 years,Chicago,IL,109000.0
Associate Professor,Education,5 - 7 years,Baltimore,MD,71050.0
Marketing Director,Public Accounting,21 - 30 years,Philadelphia,PA,175000.0
"Director, Donor Relations",Fundraising/Donor Relations,11 - 20 years,Los Angeles,CA,97500.0
Executive Assistant,Academia,8 - 10 years,Portland,OR,53000.0
Process Consultant,Healthcare,5 - 7 years,Pittsburgh,PA,79000.0
Senior Data Scientist,Technology,8 - 10 years,Boston,MA,140000.0
Program Associate,Nonprofit,5 - 7 years,Austin,TX,34000.0
Registered dietitian/department manager,Healthcare/not for profit,5 - 7 years,St. Louis,MO,58475.0
Scheduling Coordinator/Office Admin,Temporary staffing,11 - 20 years,Seattle,WA,35000.0
Graphic Designer,Food and Beverage,2 - 4 years,New York,NY,47000.0
TV News Producer,Journalism,11 - 20 years,Chicago,IL,80000.0
Proposal Manager,Health Insurance (Pharmacy Benefits Manager),31 - 40 years,Philadelphia,PA,77000.0
General Manager,Financial Services,11 - 20 years,Atlanta,GA,85000.0
Accountant,Fabric,5 - 7 years,New York,NY,35000.0
Assistant Dean,Higher Education,11 - 20 years,Baltimore,MD,92000.0
Project Manager,Insurance,11 - 20 years,Philadelphia,PA,88000.0
Manager,Healthcare,21 - 30 years,New York,NY,62500.0
Editor,Marketing,11 - 20 years,Austin,TX,60000.0
Transportation Engineer,State Government,11 - 20 years,Houston,TX,66000.0
Sales Administrative Coordinator,Truck leasing,8 - 10 years,Pittsburgh,PA,37000.0
Assistant Editor,Publishing,5 - 7 years,New York,NY,42000.0
Program Associate,Non profit; academic society,1 year or less,Washington,DC,36000.0
Human Resources & Payroll Manager,Information Technology,11 - 20 years,San Francisco,CA,85000.0
Senior Guest Service Specialist,Hospitality / Administration,5 - 7 years,Boston,MA,50250.0
